Name,Conffirmed,Deaths,Cures
枣庄,19,19,19
淄博,19,19,19
菏泽,11,11,11
日照,13,13,13
滨州,6,6,6
四川,357,451,1
成都,88,88,88
甘孜州,34,34,34
达州,31,31,31
南充,30,30,30
广安,25,25,25
绵阳,18,18,18
巴中,21,21,21
内江,18,18,18
泸州,17,17,17
德阳,17,17,17
攀枝花,5,5,5
宜宾,8,8,8
遂宁,6,6,6
凉山州,9,9,9
自贡,7,7,7
眉山,7,7,7
雅安,5,5,5
广元,5,5,5
乐山,3,3,3
资阳,2,2,2
阿坝州,1,1,1
黑龙江,355,395,9
哈尔滨,143,143,143
绥化,38,38,38
鸡西,43,43,43
双鸭山,36,36,36
齐齐哈尔,28,28,28
七台河,16,16,16
大庆,14,14,14
佳木斯,10,10,10
牡丹江,11,11,11
黑河,10,10,10
鹤岗,4,4,4
大兴安岭,2,2,2
北京,293,352,3
朝阳区,56,56,56
海淀区,56,56,56
西城区,43,43,43
大兴区,35,35,35
丰台区,29,29,29
外地来京人员,23,23,23
昌平区,19,19,19
通州区,16,16,16
房山区,14,14,14
石景山区,13,13,13
东城区,12,12,12
顺义区,10,10,10
怀柔区,7,7,7
密云区,7,7,7
门头沟区,3,3,3
延庆区,1,1,1
待明确地区,0,0,0
上海,255,313,1
外地来沪人员,72,72,72
浦东新区,44,44,44
宝山区,20,20,20
闵行区,15,15,15
徐汇区,15,15,15
静安区,13,13,13
松江区,13,13,13
长宁区,10,10,10
普陀区,11,11,11
奉贤区,8,8,8
杨浦区,8,8,8
嘉定区,7,7,7
虹口区,5,5,5
黄浦区,5,5,5
青浦区,3,3,3
金山区,3,3,3
崇明区,3,3,3
福建,219,272,0
福州,49,49,49
莆田,44,44,44
泉州,30,30,30
厦门,28,28,28
宁德,19,19,19
漳州,16,16,16
南平,16,16,16
三明,12,12,12
龙岩,5,5,5
河北,208,265,3
沧州,28,28,28
唐山,32,32,32
保定,20,20,20
邯郸,26,26,26
廊坊,21,21,21
石家庄,24,24,24
张家口,22,22,22
邢台,15,15,15
秦皇岛,8,8,8
衡水,6,6,6
承德,6,6,6
陕西,182,225,0
西安,95,95,95
安康,17,17,17
汉中,20,20,20
咸阳,13,13,13
渭南,14,14,14
宝鸡,8,8,8
延安,2,2,2
铜川,4,4,4
商洛,6,6,6
榆林,2,2,2
韩城,1,1,1
杨凌,1,1,1
待明确地区,0,0,0
广西,187,222,2
南宁,34,34,34
北海,34,34,34
桂林,26,26,26
柳州,16,16,16
河池,20,20,20
防城港,16,16,16
来宾,11,11,11
玉林,8,8,8
钦州,8,8,8
贵港,8,8,8
梧州,0,0,0
贺州,4,4,4
百色,3,3,3
待明确地区,0,0,0
海南,126,157,4
三亚,42,42,42
海口,19,19,19
儋州,14,14,14
万宁,12,12,12
澄迈,6,6,6
昌江,7,7,7
临高,5,5,5
琼海,5,5,5
陵水,4,4,4
东方,2,2,2
定安,2,2,2
文昌,3,3,3
保亭,3,3,3
乐东,2,2,2
琼中,0,0,0
云南,128,154,0
昆明,39,39,39
西双版纳,13,13,13
玉溪,11,11,11
昭通,12,12,12
曲靖,12,12,12
大理州,10,10,10
保山,9,9,9
丽江,5,5,5
红河州,4,4,4
德宏州,3,3,3
普洱,4,4,4
楚雄州,4,4,4
文山州,2,2,2
临沧,1,1,1
待明确地区,0,0,0
贵州,114,133,1
贵阳,28,28,28
遵义,24,24,24
毕节,20,20,20
黔南州,14,14,14
铜仁,5,5,5
六盘水,8,8,8
黔东南州,8,8,8
黔西南州,3,3,3
安顺,4,4,4
山西,93,126,0
晋中,27,27,27
运城,11,11,11
太原,15,15,15
大同,8,8,8
长治,8,8,8
晋城,6,6,6
朔州,5,5,5
忻州,7,7,7
吕梁,1,1,1
阳泉,4,4,4
临汾,1,1,1
辽宁,95,116,1
沈阳,21,21,21
大连,12,12,12
锦州,11,11,11
葫芦岛,10,10,10
盘锦,11,11,11
阜新,8,8,8
铁岭,6,6,6
丹东,4,4,4
朝阳,4,4,4
本溪,3,3,3
辽阳,2,2,2
鞍山,3,3,3
营口,0,0,0
天津,99,112,2
宝坻区,41,41,41
河东区,10,10,10
河北区,10,10,10
和平区,5,5,5
外地来津人员,5,5,5
北辰区,5,5,5
南开区,4,4,4
河西区,3,3,3
西青区,3,3,3
宁河区,4,4,4
东丽区,4,4,4
滨海新区,3,3,3
红桥区,1,1,1
津南区,1,1,1
武清区,1,1,1
待明确地区,0,0,0
甘肃,54,87,2
兰州,19,19,19
天水,6,6,6
定西,6,6,6
平凉,7,7,7
甘南,6,6,6
白银,4,4,4
陇南,4,4,4
临夏,1,1,1
庆阳,2,2,2
张掖,1,1,1
金昌,0,0,0
待明确地区,0,0,0
吉林,61,84,1
长春,31,31,31
四平市,10,10,10
公主岭,4,4,4
辽源,5,5,5
吉林市,2,2,2
延边,3,3,3
通化,3,3,3
松原,1,1,1
梅河口,1,1,1
白城,1,1,1
内蒙古,54,60,0
鄂尔多斯,9,9,9
包头,11,11,11
呼和浩特,7,7,7
呼伦贝尔,5,5,5
通辽,6,6,6
巴彦淖尔,6,6,6
赤峰,3,3,3
乌兰察布,3,3,3
锡林郭勒盟,1,1,1
乌海市,2,2,2
兴安盟,1,1,1
新疆,56,59,0
乌鲁木齐,18,18,18
伊犁州,12,12,12
兵团第四师,9,9,9
兵团第九师,4,4,4
昌吉州,4,4,4
巴州,3,3,3
兵团第八师石河子市,2,2,2
吐鲁番市,0,0,0
兵团第七师,1,1,1
阿克苏地区,1,1,1
兵团第六师五家渠市,1,1,1
兵团第十二师,1,1,1
宁夏,34,58,0
银川,19,19,19
吴忠,13,13,13
中卫,1,1,1
固原,1,1,1
宁东,0,0,0
石嘴山,0,0,0
香港,48,50,1
台湾,17,18,0
青海,9,18,0
西宁,7,7,7
海北州,2,2,2
澳门,8,10,0
西藏,0,1,0
拉萨,0,0,0
全球,52874,60141,1365
亚洲,52803,60061,1365
中国,52484,59700,1364
日本,194,203,0
新加坡,38,47,0
泰国,23,33,0
韩国,24,28,0
马来西亚,15,18,0
越南,12,15,0
阿联酋,7,8,0
印度,3,3,0
菲律宾,1,3,1
尼泊尔,1,1,0
柬埔寨,0,1,0
斯里兰卡,1,1,0
欧洲,44,45,0
北美洲,17,20,0
大洋洲,10,15,0
